"Nom de domaine";"Pays BE";"Departement BE";"Ville BE";"Nom BE";"Sous domaine";"Type du titulaire";"Pays titulaire";"Departement titulaire";"Domaine IDN";"Date de création";"Date de retrait du WHOIS"
abaca-paysage.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;01;0;30-04-2015;
abaca-paysagiste.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;31-01-2020;
abacap.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;75;0;02-11-2000;
abaca-pleinciel.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;27;0;06-03-2008;
abacaplomberie.fr;FR;94;VITRY-SUR-SEINE;CELEONET SAS;fr;;;;0;04-02-2013;07-03-2014
abaca-plomberie-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;03-08-2020;
abacapress.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;16-05-2000;
abaca-pro.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;69;0;09-03-2018;
abacapub-boutique.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;83;0;08-02-2011;07-04-2014
abaca-pub.fr;FR;75;PARIS;GANDI;fr;ORG;FR;83;0;08-10-2009;18-01-2018
aba-car.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;48;0;20-11-2013;29-10-2019
abacar.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;97;0;05-01-2014;05-02-2019
abacaris-films.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;08-11-2006;
abacart.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;33;0;16-06-2006;
abac-artigues.fr;FR;75;PARIS;GANDI;fr;ORG;FR;33;0;19-01-2009;
abacar3873.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;ORG;FR;38;0;25-09-2018;
abacasabla.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;78;0;26-06-2019;12-06-2020
abacasalome.fr;MC;99;MONACO;NAMEBAY;fr;ORG;FR;35;0;21-05-2018;
abacaserrures.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;54;0;28-11-2013;22-10-2019
abaca-serrurier.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;34;0;02-09-2010;30-09-2018
abaca-serrurier-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;19-10-2017;16-12-2018
abaca-serrurier-nantes.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;08-03-2018;
abacas.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;fr;ORG;FR;13;0;22-10-2008;10-06-2018
abacashop.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;15-04-2011;
abac-asso.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;01;0;06-10-2018;
abac.asso.fr;FR;75;PARIS;GANDI;asso.fr;ORG;FR;92;0;02-09-2009;
abaca-studio.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;74;0;05-08-2014;
abacasud.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;58;0;22-03-2009;
abaca-taxi.fr;FR;75;PARIS;GANDI;fr;ORG;FR;40;0;17-06-2016;
abaca-taxi-riom.fr;FR;75;PARIS;GANDI;fr;ORG;FR;63;0;13-11-2014;
abaca-taxi-riom-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;30-08-2016;28-10-2017
abaca-taxi-toulouse.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;FR;54;0;24-05-2013;28-02-2017
abaca-taxi11.fr;FR;92;BOULOGNE BILLANCOURT;FUTUR DIGITAL;fr;ORG;FR;11;0;01-08-2012;06-04-2018
abaca-team.fr;FR;75;PARIS;PLANET-WORK;fr;ORG;FR;42;0;08-11-2017;
abacatel.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;44;0;29-11-2007;26-03-2016
abaca-toulouse.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;31;0;05-02-2019;
abaca-transport.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;06;0;02-11-2009;
abacatravel.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;27-08-2010;05-08-2018
abacaur.fr;FR;54;MAXEVILLE;ADISTA;fr;ORG;FR;69;0;09-06-2006;
abacavideo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;22-10-2018;
abaca-vitrier.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;34;0;02-09-2010;30-09-2018
abacaxi.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;23-01-2017;
abaca34.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;34;0;02-09-2010;30-09-2018
abaca44.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;10-01-2017;
abaca50.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;50;0;05-12-2011;
abaca69.fr;FR;92;BOULOGNE BILLANCOURT;FUTUR DIGITAL;fr;ORG;FR;69;0;24-05-2013;20-11-2015
abacbayeux.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;PERSON;FR;14;0;08-07-2014;
abacbelgium.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;;;;0;04-06-2013;04-07-2014
abac-bet.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;62;0;18-11-2014;
abac-bet2.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;59;0;14-01-2015;
abacca-chatou.fr;FR;92;BOULOGNE BILLANCOURT;PAGESJAUNES;fr;ORG;FR;78;0;22-06-2012;04-06-2016
abacca.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;49;0;31-05-2014;
ab-accessoire.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;34;0;18-10-2014;17-12-2015
abacc.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;09-09-2016;
abacchus.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;59;0;17-07-2017;
abacchus-management.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;29-06-2020;
abaccompagnementbilan.fr;DK;99;COPENHAGUE V;One.com A/S;fr;ORG;FR;75;0;26-02-2014;
abac-concept.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;09-06-2009;
abacconcept.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;13-06-2011;
abacconseil-experts-comptables.fr;FR;75;PARIS;LINKEO;fr;ORG;FR;68;0;20-01-2017;
abac-conseil.fr;FR;75;PARIS;LINKEO;fr;ORG;FR;68;0;14-12-2007;
abacconstruction.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;27-07-2015;
abac-consulting.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;17-02-2010;18-04-2017
abac-controle.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;27;0;30-10-2014;
abaccontrole.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;27;0;30-10-2014;
abaccuspassion.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;59;0;26-10-2015;
abacdef.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;PERSON;FR;62;0;13-08-2013;13-09-2014
abacdetective.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-10-2008;
abac-domiciliation.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;92;0;05-11-2013;
abaces-services.fr;FR;75;PARIS;GANDI;fr;ORG;FR;69;0;27-02-2020;
abacevolution.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;03-10-2007;22-11-2019
abac-expertises.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;73;0;23-12-2016;21-02-2018
abac-experts.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;73;0;21-12-2016;19-02-2018
abacfermetures.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;04-06-2013;03-08-2016
abacformation.fr;FR;38;GRENOBLE;PHPNET FRANCE SARL;fr;ORG;FR;06;0;15-03-2011;
abac.fr;FR;26;VALENCE;AXESS ONLINE;fr;ORG;FR;42;0;13-09-1999;
abac-france.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;26;0;05-10-2005;
abacfrance.fr;US;99;WILMINGTON;CSC CORPORATE DOMAINS INC.;fr;ORG;SE;99;0;18-07-2003;
abacgeoaquitaine.fr;FR;75;PARIS;GANDI;fr;ORG;FR;33;0;05-04-2017;
abac-geo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;14;0;17-02-2012;
abacgeo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;14;0;30-04-2012;
abac-geo-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;10-01-2020;
abac-geometres.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;33;0;30-06-2011;
abacgroupe.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;23-10-2011;
abachar.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;92;0;25-07-2012;21-07-2015
abachauffage.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;02-03-2017;
abache.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;50;0;09-12-2012;27-05-2020
a-bachelet.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;21;0;06-07-2017;
abachelet.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;45;0;12-11-2019;
a-bachi.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;72;0;19-05-2018;
abacho.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;DE;99;0;20-07-2001;
abachuse.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;39;0;05-09-2014;04-10-2016
abacid.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;92;0;12-02-2008;
abaci.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;92;0;14-09-2011;
abac-immobilier.fr;LU;99;LEUDELANGE;EURODNS S.A.;fr;ORG;FR;57;0;17-01-2007;
abac-info.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;11;0;26-01-2009;
abac-ingenierie.fr;MC;99;MONACO;NAMEBAY;fr;ORG;FR;69;0;31-01-2000;
abacinscription.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;FR;06;0;13-11-2017;13-12-2018
abacius.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;06;0;27-06-2017;27-07-2018
abackcreativeservice.fr;FR;45;ORLEANS;HAISOFT;fr;PERSON;FR;75;0;01-02-2012;08-03-2015
aback-ferronnerie.fr;FR;75;PARIS;GANDI;fr;ORG;FR;83;0;23-08-2013;20-10-2016
aback-ferronnerie-var.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;26-10-2011;31-05-2017
aback.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;03-06-2014;17-07-2017
abackstage.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;29-12-2011;
abac-langon.fr;FR;75;PARIS;GANDI;fr;ORG;FR;33;0;19-01-2009;
abac-lateste.fr;FR;75;PARIS;GANDI;fr;ORG;FR;33;0;19-02-2010;
abaclievin.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;62;0;09-08-2007;
abac-lille.fr;FR;75;PARIS;GANDI;fr;ORG;FR;59;0;26-04-2013;
abac-location.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;77;0;12-11-2003;
abac-lyon.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;69;0;09-11-2011;
abac-net.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;20-12-2016;
abacnet.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;29-10-1999;
abacoadvisers.fr;LU;99;LEUDELANGE;EURODNS S.A.;fr;PERSON;ES;99;0;04-06-2012;
abaco-catalan.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;08-01-2014;09-03-2015
abacocomputers.fr;IT;99;CHIESINA UZZANESE;TUONOME.IT SRL;fr;ORG;IT;99;0;13-10-2008;10-08-2018
abacof.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;92;0;24-11-2005;03-07-2017
abacoffre.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;75;0;24-11-2005;
abacofinance.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;94;0;22-04-2014;
abaco.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;93;0;03-04-1998;
aba-colis.fr;MC;99;MONACO;NAMEBAY;fr;ORG;FR;38;0;04-11-2019;
abacolis.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;US;99;0;14-04-2012;
abacoma.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;19-02-2015;05-03-2019
abaco-marseille.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;63;0;30-08-2014;23-12-2017
abacom-centre-affaires.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;35;0;02-03-2009;
abacome.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;26;0;22-06-2011;
aba-com.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;44;0;06-02-2001;
abacom.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;93;0;21-01-1999;
aba-concept.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;44;0;16-12-2016;15-01-2020
abaconorme.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;19-09-2016;18-11-2017
abaconseil.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;42;0;17-02-2011;
aba-conseils.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;37;0;21-09-2012;18-11-2014
abaconseils.fr;FR;69;SAINT-GENIS-LAVAL;AR-TIC;fr;ORG;FR;13;0;17-11-2008;12-09-2019
aba-constructeur.fr;FR;75;PARIS;GANDI;fr;ORG;FR;83;0;03-04-2012;31-05-2015
aba-consultation.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;34;0;06-08-2017;04-09-2018
aba-consult.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;75;0;17-02-2015;
abaconsulting.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;21;0;05-04-2011;
abacontrole.fr;FR;75;PARIS;LINKEO;fr;ORG;FR;93;0;20-09-2010;13-10-2016
abacoon.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;81;0;23-06-2005;
abaco-online.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;06;0;21-06-2005;
abaco-paris.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;27-05-2014;29-10-2019
abaco-renovation-appartement.fr;NL;99;ZWOLLE;Realtime Register B.V.;fr;;;;0;02-07-2013;01-08-2014
abacor.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;06-11-2006;
aba-corpus.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;54;0;04-07-2013;18-04-2016
abacosoutra.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;89;0;30-10-2015;29-11-2018
abacost.fr;FR;75;PARIS;GANDI;fr;ORG;FR;33;0;12-07-2016;
aba-cotedor.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;21;0;30-06-2013;
abacou.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;08;0;06-04-2009;14-09-2015
aba-coursanglais.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;17-06-2015;16-08-2016
ab-acoustique.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;78;0;13-05-2008;
abacpetitplombier.fr;BS;99;NASSAU;INTERNET.BS CORP;fr;PERSON;FR;93;0;27-07-2014;14-09-2015
abacp.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;71;0;28-03-2018;
abac-pleinciel.fr;CH;99;LES ACACIAS;Infomaniak Network SA;fr;ORG;FR;74;0;28-03-2018;
abacq.fr;FR;75;PARIS;GANDI;fr;ORG;FR;44;0;25-09-2017;
abacq-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;19-01-2017;18-03-2018
aba-creation.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;75;0;28-01-2008;29-03-2020
abacrenovation.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;PERSON;FR;91;0;19-03-2018;19-04-2019
abacsante.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;02-07-2014;20-09-2018
abac-sas.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;75;0;13-01-2015;28-03-2020
abacsas.fr;FR;34;CLAPIERS - MONTPELLIER;NETSAMPLE;fr;ORG;FR;30;0;19-09-2005;
abacsellnet.tm.fr;FR;75;PARIS;SCALEWAY;tm.fr;ORG;FR;74;0;03-07-1998;24-02-2017
abacservices.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;31;0;15-09-2015;
abacservicesplus.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;17-03-2010;
abacs.fr;FR;75;PARIS;GANDI;fr;ORG;FR;69;0;29-10-2013;
abacslc-stores.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;19-05-2014;
abac-systems.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;74;0;27-11-2007;26-01-2015
abacsystems.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;74;0;17-01-2008;18-03-2014
abacs63.fr;FR;75;PARIS;GANDI;fr;ORG;FR;63;0;09-03-2009;
abacs63-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;07-02-2017;06-04-2018
abac-taxi.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;68;0;09-04-2013;
abac-taxi-gopee.fr;FR;92;BOULOGNE BILLANCOURT;PAGESJAUNES;fr;ORG;FR;74;0;28-02-2012;06-06-2016
ab-activ.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;35;0;11-03-2011;
abacuaevents.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;13;0;16-04-2017;16-05-2018
abacube.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;92;0;10-07-2015;08-09-2016
abacule.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;06-09-2006;29-03-2018
abacus-assurances.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;ORG;GB;99;0;18-06-2020;
abacus-avocat.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;79;0;18-06-2010;
abacus-avocats.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;79;0;18-06-2010;
abacus-blueedition.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;ORG;DE;99;0;02-10-2012;02-11-2016
abacus-conseil.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;75;0;07-08-2009;
abacusconseil.fr;AU;99;MORDIALLOC, VICTORIA;INSTRA CORPORATION PTY LTD;fr;PERSON;FR;75;0;18-02-2008;31-05-2019
abacus-conseils.fr;FR;92;CLICHY;ECRITEL;fr;ORG;FR;13;0;13-10-2010;
abacus-consultants.fr;FR;92;CLICHY;ECRITEL;fr;ORG;FR;13;0;08-12-2008;
abacus-consulting.fr;FR;75;PARIS;GANDI;fr;ORG;FR;97;0;16-07-2015;13-09-2019
abacus-environnement.fr;FR;92;CLICHY-LA-GARENNE;OXYD SARL;fr;ORG;FR;13;0;13-10-2010;28-11-2017
abacus-expertise.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;21-11-2019;
abacus-formation.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;94;0;05-02-2009;05-03-2016
abacus.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;04-11-2013;
abacusglobal.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;02-11-2016;29-11-2018
abacus-group.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;12-12-2017;
abacusgroup.fr;FR;75;PARIS;GANDI;fr;ORG;FR;97;0;01-08-2013;
abacus-institut.fr;DE;99;REGENSBURG;Vautron Rechenzentrum AG;fr;PERSON;FR;67;0;01-09-2009;
abacusmedicine.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;DK;99;0;26-09-2016;
abacus-one.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;ORG;DE;99;0;02-10-2012;02-11-2016
abacus-outplacement.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;34;0;11-05-2020;
abacus-piscine.fr;FR;59;ROUBAIX;OVH;fr;ORG;ES;99;0;15-03-2017;14-05-2018
abacus-restaurant.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;34;0;24-07-2017;
abacus-rh.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;94;0;05-02-2009;
abacusrh.fr;AU;99;MELBOURNE, VICTORIA;ARQ GROUP LIMITED;fr;PERSON;FR;94;0;03-12-2009;02-12-2018
abacus-services.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;63;0;19-01-2006;19-03-2020
abacuss.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;35;0;16-02-2020;
abacustaxirelais.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;77;0;02-05-2013;
abacustraductions.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;ORG;DE;99;0;12-03-2019;
abacusyachts.fr;FR;06;NICE;NETSPACE;fr;ORG;FR;06;0;12-10-2012;13-10-2014
abacweb.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;PERSON;FR;94;0;17-11-2014;17-12-2015
abacx.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;91;0;07-03-2014;05-08-2019
a-bac2.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;59;0;12-01-2015;12-03-2016
abac2.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;72;0;10-03-2014;08-04-2016
abac30.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;30;0;16-11-2010;18-12-2014
abac34.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;34;0;02-09-2010;30-09-2018
abac91.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;15-07-2013;22-08-2018
abadaan.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;03-04-2016;
abada-avocat.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;42;0;01-04-2016;
abadacapoeira-annecy.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;74;0;20-03-2020;
abada-capoeira.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;06;0;18-02-2014;22-03-2017
abadacapoeira.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;27-08-2014;26-10-2017
abadacapoeirahautsdeseine.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;92;0;08-07-2016;07-08-2019
abadacapoeiraparis.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;27-08-2014;26-10-2017
abada-capoeira-thionville.fr;FR;75;PARIS;GANDI;fr;ORG;FR;57;0;01-03-2016;
abadacapoeira92.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;92;0;08-07-2016;07-08-2019
abadachoeur.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;19-04-2010;
abadadourdan.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;92;0;23-02-2016;23-04-2017
abada.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;38;0;04-04-2011;
abadafrance.fr;BS;99;NASSAU;INTERNET.BS CORP;fr;PERSON;FR;71;0;02-11-2013;14-01-2015
abadahautsdeseine.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;92;0;08-07-2016;07-08-2019
abadaholding.fr;FR;49;ANGERS;VIADUC;fr;PERSON;FR;78;0;18-02-2009;01-04-2014
abadaire.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;17;0;11-01-2017;
abada-jogos.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;FR;69;0;15-09-2013;24-10-2018
abadal.fr;ES;99;CERDANYOLA DEL VALLES;ENTORNO DIGITAL S.A.;fr;ORG;ES;99;0;07-02-2013;
abadali.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;29;0;14-10-2015;
abadam.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;26;0;24-12-2015;
abadane.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;43;0;02-12-2013;
abadan-engineering.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;32;0;31-05-2005;
abadan.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;06;0;31-10-2014;29-10-2019
abadan-75.fr;FR;92;BOULOGNE BILLANCOURT;FUTUR DIGITAL;fr;ORG;FR;75;0;11-07-2017;31-12-2018
abadaparis.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;27-08-2014;26-10-2017
abadas.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;33;0;05-04-2020;
abadayservices.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;10-10-2019;
abada92.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;92;0;08-07-2016;07-08-2018
abad-batiment.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;15-04-2014;
abad-bonascre.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;31;0;03-04-2015;
abadcadabra.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;34;0;12-11-2014;10-01-2020
abad-domicile.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;31;0;29-08-2018;
abaddon.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;37;0;06-03-2011;04-05-2018
abadec.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;37;0;17-11-1999;
abade-consulting.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;73;0;05-01-2018;
abadeconsulting.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;73;0;05-01-2018;
abadeco-peinture-lyon.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;17-12-2015;
